"round","match_number","red1","red2","red3","blue1","blue2","blue3"
"qm",1,"6768","6672","6357","8816","5411","8874"
"qm",2,"5417","5682","3310","148","6369","8507"
"qm",3,"7091","6171","3282","2714","4717","8858"
"qm",4,"5431","7535","7506","7503","8749","4610"
"qm",5,"7319","7125","6901","7121","5242","118"
"qm",6,"4641","2950","3676","3355","7119","8580"
"qm",7,"3802","5052","5212","2848","3035","7621"
"qm",8,"2714","8816","148","8858","5411","3310"
"qm",9,"5417","7506","3282","7535","6768","5682"
"qm",10,"6672","8507","7319","5431","6369","6357"
"qm",11,"5242","8749","4641","7125","4717","3355"
"qm",12,"118","2950","4610","7091","2848","5052"
"qm",13,"7621","7121","7119","3035","3802","7503"
"qm",14,"3676","8580","6171","6901","5212","8874"
"qm",15,"5411","7506","6768","7319","3310","5431"
"qm",16,"8507","3355","5242","4717","148","3282"
"qm",17,"7125","6357","8749","8858","5052","4641"
"qm",18,"6672","3802","7091","7535","7503","7121"
"qm",19,"2848","6901","2950","3676","7621","5682"
"qm",20,"5212","8580","2714","118","5417","6369"
"qm",21,"7119","3035","8816","6171","8874","4610"
"qm",22,"4641","5431","4717","148","6357","7319"
"qm",23,"7091","3310","7121","8749","5411","3282"
"qm",24,"6768","7503","6901","5052","8507","2950"
"qm",25,"3676","6369","2714","5242","7621","6672"
"qm",26,"118","3035","5212","6171","7119","7506"
"qm",27,"8874","3355","2848","7535","7125","5417"
"qm",28,"5682","8858","8580","3802","8816","4610"
"qm",29,"2950","3282","6357","148","7121","5431"
"qm",30,"6768","7319","7621","8507","7091","2714"
"qm",31,"7503","7119","4717","5212","7506","4641"
"qm",32,"3310","5052","5242","3035","8874","6369"
"qm",33,"8816","8858","8749","118","3676","3802"
"qm",34,"4610","8580","7535","5417","3355","6901"
"qm",35,"5682","2848","7125","6672","6171","5411"
"qm",36,"7506","7621","2950","7121","6357","2714"
"qm",37,"8874","148","7119","5212","3282","7503"
"qm",38,"8749","6768","3310","8816","7091","6369"
"qm",39,"5431","8507","8858","5242","3676","7535"
"qm",40,"7125","4641","3035","5682","6901","3802"
"qm",41,"5052","4717","118","8580","2848","5411"
"qm",42,"4610","6672","3355","7319","6171","5417"
"qm",43,"7621","148","7091","7506","3310","8874"
"qm",44,"8816","8507","7535","5242","5212","2950"
"qm",45,"6901","2714","8749","7125","5431","7119"
"qm",46,"7121","8580","4717","6768","2848","3676"
"qm",47,"5682","3282","118","6357","7503","3355"
"qm",48,"3035","6672","8858","7319","4610","5052"
"qm",49,"6369","6171","4641","5411","5417","3802"
"qm",50,"2950","7091","7535","3310","7125","148"
"qm",51,"4717","6901","8507","8874","8749","8580"
"qm",52,"7621","118","7503","3282","3676","8816"
"qm",53,"3355","5052","3035","2714","7319","7506"
"qm",54,"6369","4610","2848","7119","4641","5411"
"qm",55,"3802","8858","6357","5212","5417","6672"
"qm",56,"6171","7121","6768","5431","5242","5682"
"qm",57,"8580","118","7125","3282","7621","8507"
"qm",58,"7503","7319","8816","6901","7506","3676"
"qm",59,"5411","7535","6369","4717","2950","3035"
"qm",60,"8858","148","5417","8749","6672","2848"
"qm",61,"8874","3802","5242","4610","2714","5431"
"qm",62,"7121","5682","5212","4641","7091","3355"
"qm",63,"6357","3310","6171","5052","6768","7119"
"qm",64,"5411","7319","3676","3282","7535","6901"
"qm",65,"7503","2950","6672","8749","4717","7621"
"qm",66,"3802","6369","7506","8858","7125","8874"
"qm",67,"3355","8816","7121","5417","3035","8507"
"qm",68,"4641","4610","148","2714","118","6768"
"qm",69,"7091","5431","5212","6171","5682","5052"
"qm",70,"3310","7119","2848","6357","5242","8580"
"qm",71,"3282","8874","7319","2950","8749","3802"
"qm",72,"7621","6901","5411","7506","3355","8858"
"qm",73,"3676","4610","7125","148","6768","3035"
"qm",74,"8507","5212","6171","6369","7121","5052"
"qm",75,"6672","5431","118","3310","4641","8816"
"qm",76,"7119","2714","5682","6357","7535","4717"
"qm",77,"2848","5417","5242","8580","7503","7091"
"qm",78,"3035","3676","8749","4610","3282","6768"
"qm",79,"5052","5411","148","8507","3802","7121"
"qm",80,"6369","5212","7125","6901","8816","5431"
"qm",81,"7535","8874","7621","3355","118","6171"
"qm",82,"2848","8858","7503","2950","2714","3310"
"qm",83,"7119","6357","5417","4717","5682","7319"
"qm",84,"7506","5242","7091","8580","4641","6672"
