"round","match_number","red1","red2","red3","blue1","blue2","blue3","X","X.1","winChances","predictedWinners"
"qf",1,7506,8816,6526,8528,7321,7503,NA,NA,51.5,"r"
"qf",2,7534,5613,9105,8749,4192,7271,NA,NA,51.5,"r"
"qf",3,8858,2714,6672,9128,3310,9156,NA,NA,50.2,"b"
"qf",4,7119,7535,7540,5411,5431,6369,NA,NA,53.4,"r"
"qf",5,4251,4206,3005,4153,4641,148,NA,NA,53.6,"b"
"qf",6,7506,6974,9299,9088,9080,7534,NA,NA,50.4,"r"
"qf",7,5613,9156,8749,7321,5411,7119,NA,NA,51.6,"b"
"qf",8,4153,7271,6672,8528,6369,9128,NA,NA,51.1,"b"
"qf",9,4641,4206,4192,9299,6526,5431,NA,NA,54.7,"b"
"qf",10,9088,3005,3310,9080,7540,9105,NA,NA,59,"b"
"qf",11,6974,8858,7503,2714,4251,8816,NA,NA,50.5,"r"
"qf",12,148,9128,7534,5431,7535,5613,NA,NA,55.6,"b"
"qf",13,6369,7506,4153,9156,9105,9088,NA,NA,51.2,"b"
"qf",14,4192,5411,8816,4641,8858,3005,NA,NA,56.4,"r"
"qf",15,7321,3310,7535,4206,8749,8528,NA,NA,51.4,"r"
"qf",16,2714,9080,6974,7271,4251,7119,NA,NA,52.9,"b"
"qf",17,6526,7540,7503,6672,148,9299,NA,NA,58.4,"r"
"qf",18,5411,8528,3310,7506,9156,4206,NA,NA,50.9,"b"
"qf",19,7119,6974,9128,6369,7321,3005,NA,NA,53.9,"r"
"qf",20,8858,7271,5431,4192,7503,7535,NA,NA,51,"b"
"qf",21,8749,7534,7540,9105,6526,4153,NA,NA,50.1,"b"
"qf",22,2714,9299,9088,148,5613,4251,NA,NA,51.6,"r"
"qf",23,4641,6672,9156,8816,9080,7271,NA,NA,56.6,"b"
"qf",24,3310,9105,7503,4153,3005,7535,NA,NA,54.9,"r"
"qf",25,5431,7540,2714,5613,8858,6526,NA,NA,54.9,"b"
"qf",26,7506,8528,148,5411,4641,8749,NA,NA,53.5,"b"
"qf",27,7534,4251,4192,6672,7321,6974,NA,NA,51.1,"r"
"qf",28,7119,9080,4206,9299,8816,6369,NA,NA,52.6,"b"
"qf",29,7503,9088,5411,9128,9105,2714,NA,NA,54.6,"r"
"qf",30,148,7535,8858,7271,7321,7506,NA,NA,55.5,"b"
"qf",31,4251,4153,7540,4206,5613,8816,NA,NA,50.5,"b"
"qf",32,9156,6369,7534,6672,7119,6526,NA,NA,50.8,"r"
"qf",33,9128,9299,4641,6974,3310,8749,NA,NA,50.8,"b"
"qf",34,9080,3005,8528,4192,5431,9088,NA,NA,53.4,"b"
"qf",35,6526,148,4206,9105,6672,7535,NA,NA,51.9,"b"
"qf",36,7321,8816,4641,2714,4153,7534,NA,NA,55.5,"r"
"qf",37,8858,7540,8528,7271,9156,9299,NA,NA,51.3,"b"
"qf",38,7119,4192,3310,4251,9088,9128,NA,NA,51,"b"
"qf",39,6369,6974,5613,8749,7503,7506,NA,NA,51.7,"b"
"qf",40,7534,3005,5431,9080,5411,8858,NA,NA,56.9,"b"
"qf",41,148,9105,7321,9156,8528,7119,NA,NA,52.2,"b"
"qf",42,7535,4206,7271,6974,6526,9088,NA,NA,53.4,"b"
"qf",43,6672,7506,4192,3005,8749,2714,NA,NA,52.4,"r"
"qf",44,9128,4153,5411,7503,5431,4251,NA,NA,53.8,"b"
"qf",45,6369,4641,9080,9299,3310,7540,NA,NA,52.5,"r"
"qf",46,5613,9088,7506,8816,7534,6974,NA,NA,51.3,"b"
"qf",47,7321,5431,9156,3005,7503,6672,NA,NA,59.2,"r"
"qf",48,6526,4251,8528,7535,9128,9080,NA,NA,53.2,"r"
"qf",49,8816,8749,8858,3310,148,6369,NA,NA,58.7,"r"
"qf",50,4641,7119,9105,7540,4192,5613,NA,NA,53,"r"
"qf",51,7271,2714,5411,4206,4153,9299,NA,NA,51.3,"r"
"qf",52,9088,6672,8749,8858,7534,3310,NA,NA,50.1,"b"
"qf",53,9156,6526,9080,8816,7503,9128,NA,NA,51.8,"r"
"qf",54,9105,9299,4251,5431,7506,4641,NA,NA,52.1,"r"
"qf",55,6974,8528,4153,3005,5613,7119,NA,NA,53.9,"r"
"qf",56,4206,2714,7321,7540,7271,5411,NA,NA,52.4,"b"
"qf",57,7535,6369,4251,4192,148,9156,NA,NA,55.9,"r"
"qf",58,9299,7119,8858,3005,7506,9105,NA,NA,56.5,"r"
"qf",59,8749,9128,7321,7540,9088,4206,NA,NA,52.4,"r"
"qf",60,5411,6974,148,9080,4192,4153,NA,NA,51.4,"b"
"qf",61,3310,7271,5613,5431,6672,8816,NA,NA,51.3,"r"
"qf",62,7503,2714,6369,8528,7534,4641,NA,NA,51.5,"b"
"qf",63,6526,9128,4192,7535,5411,7506,NA,NA,53.7,"b"
"qf",64,5613,9299,9080,4153,8858,7321,NA,NA,50.9,"r"
"qf",65,9105,8749,5431,4251,9156,6974,NA,NA,50.5,"b"
"qf",66,9088,6369,7271,3310,4641,6526,NA,NA,51.6,"r"
"qf",67,7540,8816,3005,8528,7535,2714,NA,NA,53.6,"b"
"qf",68,7534,4206,6672,7503,7119,148,NA,NA,54.3,"b"
