"matchNum","redScore","redLinks","blueScore","blueLinks"
1,21,0,36,0
2,45,0,48,1
3,123,5,106,3
4,57,1,74,2
5,104,5,68,1
6,34,1,55,1
7,76,3,27,0
8,98,4,78,1
9,101,2,32,1
10,152,7,54,1
11,81,1,43,1
12,98,3,43,2
13,79,0,50,0
14,58,1,98,2
15,127,3,112,4
16,68,2,11,0
17,68,1,144,4
18,96,3,107,3
19,55,2,130,4
20,64,1,68,2
21,87,3,70,1
22,104,3,88,4
23,113,4,30,0
24,97,2,127,5
25,93,2,52,1
26,122,5,75,2
27,38,1,89,2
28,110,2,36,1
29,87,1,124,3
30,121,5,40,3
31,54,1,85,3
32,52,0,124,5
33,19,0,135,6
34,107,4,79,1
35,54,1,131,4
36,40,0,106,4
37,87,2,32,0
38,115,2,97,2
39,59,1,112,4
40,117,5,107,3
41,99,3,62,1
42,53,1,50,1
43,94,5,126,4
44,92,3,54,2
45,63,1,129,2
46,77,2,16,0
47,81,2,161,7
48,24,0,81,3
49,95,3,114,3
50,92,2,75,4
51,91,2,65,2
52,147,7,68,0
